No.,Review Title,Review Text,Star Rating,Date,Author,Location
1,Well I live in Australia and I received…,"Well I live in Australia and I received my first 3 bottles of Obvi burn Elite yesterday. It only took under 2 weeks to be delivered, so I'm happy about that. I will start this 3 month journey today and give you a full update in 3 months 🙏🏼 praying I don't have to change my review to something negative.",5,2024-12-14,Kaydence Langton,AU
2,3 weeks waiting,"It's been 3 weeks, and I honestly don't see much of a difference yet. The taste is okay, but I expected better results by now. Maybe it just takes longer, but I'm a bit disappointed so far",2,2024-12-06,chloe,GB
3,Customer service,As I’ve only just started these I can’t say whether they work for weight loss but I do have more energy and feel better. When my order arrived it was the wrong items. I contacted customer support via email to which they responded within a few days with an apology and promise to ship the correct items. I’m in New Zealand but sure enough a month later the correct order arrived.,5,2024-10-11,Nicola Turbitt,NZ
4,Australia customer,"Australia customer- I paid for the product on the 5th of November, product has still not been shipped, I sent an email -got an automated ai message, no human interaction. My mum also got some, she spent over $250, she has been given two different consignment numbers neither of the numbers work.",1,2024-11-28,customer,AU
5,INTERNATIONAL BUYERS BEWARE:,"INTERNATIONAL BUYERS BEWARE:
Post-purchase, the company states that it is perfectly normal for shipping to take up to and exceed 4 weeks. In my case shipping took one month and the product still never arrived. The couriers they choose to use appear unreliable as tracking for my shipment simply disappeared in transit after one month. I therefore attempted to cancel my order. The company did offer to resend it, however as it is no longer needed, I declined and requested a refund. The company states that this is not a possibility. 30+ days onwards and it is still unclear as to whether I will ever receive a product. As I said, international buyers BEWARE.",1,2024-11-28,Megan Grant,AU
6,Obvi elite is the bomb!,"Shipping to Aus takes up to 1 month. But the burn elite is worth it. I've ordered my second bottle. The energy they give me is beyond amazing, and without a doubt kills the appetite.
If you want real reviews and stories you must join the Obvi community on Facebook! You will not be disappointed. The only downside to this company is that it's near impossible to get a reply.",5,2024-09-19,Shannon,AU
7,Refunds,"Hi I think Canadians should be eligible for refunds.I ordered and when I seen price with exchange I can't afford that on a monthly basis.When I called they said no refund to Canadians, I didn't see that posted anywhere.That should be advertised. Looking tho that ppl said it didn't work for them",1,2024-10-31,Gayle Watson,CA
8,This company is a SCAM,"This company is a SCAM! Do not purchase from them. They do NOT stand by there money back guarantee. I requested a refund and to return the remaining product. They never returned my call, I called again and left another voicemail and they finally called back and said they would send me a return link in an email. They NEVER did and then when I reached out again they said to log in to my account and try it there, well to my surprise when l tried to log in to my account it said ""NO ACCOUNT FOUND"" so I reached back out via email and they said to create a new account well it wouldnt let me do that, i don't have an order number. So I asked how can I retrieve that information if I can't access my account. They told me to try the link again so I did after a week of fighting with them and when I tried to do a refund/return it said window closed for return. So now I'm stuck with a product that DOES NOT work and want to warn others before trusting this company.",1,2024-11-01,Ember Senko,US
9,Don’t waste your money,Don’t waste your money. 1 week on this stuff I was soo tired and hungry all the time. Actually put on weight eating more than I usually would. I will not be taking anymore of it!,1,2024-11-26,Margaret Perry,AU
10,I am a stage 4 cancer survivor,I am a stage 4 cancer survivor (in remission since February 2020) but chemo did so much damage to my body that I now have MDS. My energy level has been so bad but I have taken these supplements for about 3 days now and my energy level has come up quite abit. I fell so much better and I believe this is what your product has done for me!!!,5,2022-01-07,Melba Neal,US
11,I absolutely love all of the obvi…,"I absolutely love all of the obvi products that I have tried. Collagenic burn, detox, super collagen protein powders. The protein powders are the best tasting out of all the different ones I have tried. Dissolve well and no chalky texture. Flavor is spot on. My husband even likes them in his coffee now.",5,2022-01-05,Denise Buck,US
12,"New widow and BURN, a beautiful combination.","I have been very impressed with Onvi. Being a widow had drawn some of the vigor and vitality out of my normal self. I have started eating healthier, despite the fact that I’m a good Southern cook and added exercise to my life. Just signed up for line dancing at 68 years young. Now imagine that sight. I’m taking BURN and after one week I have more energy in one day than I did the last year combined.",5,2022-01-05,Kathy Riggan,US
13,Great for hair and nails,"I’ve been using Obvi collagen for five months, and I can tell a huge difference in my hair, nails, and skin. My hair is longer, fuller and healthier than it ever has been. I stopped getting acrylics put on my nails, because my natural nails are so long and strong.",5,2023-01-10,Sonya C,US
14,Very unprofessional,Obvi needs to do better for their customers international. It's been 5 weeks since I've purchased now and they don't refund for lost or damage items despite waiting over a month. All they said is they will reship but that's not good enough to say I payed $60+ for delivery. Tracking stopped 3 weeks ago aswell.,1,2024-09-27,Annie,AU
15,Feeling like this is a scam,"Feeling like this is a scam. Placed an order over a month ago, tracking hasn't updated since the 8th September. Contacted customer service twice, they only replied once to say it doesn't count as ""lost"" yet and aren't responding to my enquiries since. Calling my bank to report it as a scam now and hopefully get my funds back.",1,2024-09-26,GW,AU
16,This ACTUALLY does what they say!!!,"I started using Obvi after I had Bariatric surgery and my hair got so thin and was hardly growing at all! Saw a FB video of person I follow that had same issues when she tried it and said it made huge dfrce. I gave it a shot and goin on 2 yrs later, I am an avid customer/supporter! I saw huge dfrnce within the 1st few weeks! My hair started growing again, thickening up again and looking overall healthier! Absolutely LOVE LOVE Obvi! I currently use 3 of their products (Burn, Guilt & Gummies) that not only help me maintain vitamins I need reg after having surgery but also continue to keep my hair, nails and energy, up! I even have my mom and several friends using it as well!! Thus truly is a product that does what it says!",5,2022-01-03,Chantay Swoopes Ratliff,US
17,A little scoop of heaven,"So, I first bought the birthday cupcake collagen because I am a sucker for anything birthday cake flavored. But, I kept reading all the reviews for the peppermint mocha collagen and how fantastic it was and that it was only available for a limited time and...I bought a peppermint mocha collagen before I even tasted the birthday cupcake! In my coffee every morning I put that little scoop of heaven and think fondly of Obvi! No lie, the peppermint mocha is awesome. I have already shared my peppermint mocha with my mother and purchased another. While waiting for my replacement peppermint mocha I finally tried the birthday cupcake and I will say it was also amazing. So much yummy!",5,2022-01-05,Heather Dickerson,US
