No.,Review Title,Review Text,Star Rating,Date,Author,Location
1,High expectations for blue green…,"I previously ordered this blue green algae which was highly recommended. Altho I’ve just begun taking it, the reviews and especially talking with friends who’ve had excellent results with it, I’m determined to continue it for a few months. Between the lower price and no shipping cost, I’ve decided it was worth ordering 2 more bottles.",5,2024-12-15,EDYE,US
2,Been using Swanson for over ten years,"Been using Swanson for over ten years. Recently received an order with wrong type of pills. Called last night and received great service from ""Hannie"". She refunded three bottles of the pills (even though one was opened.)
Just placed another order with Swanson. I am 81 and in good health. I know dealing with Swanson is safe and my credit card is secure. Merry Christmas!",5,2024-12-04,John Dumas,US
3,My Malwarebytes says your site is…,My Malwarebytes says your site is phishing. I told it to make an exception & that was not working. I think someone is trying to hack your site so it didn't work to make an exception.,5,2024-12-14,Nana,US
4,Speed and ease of ordering,"Speed and ease of ordering, as well as always great prices...the free shipping was a wonderful bonus and got me to order sooner than I was going to, so thanks for that!",5,2024-12-14,Anna B.,US
5,PROBLEMS WITH FINDING ICONS,"I got through ordering and couldn't figure out how to get to the check-out cart. Then I looked at the rewards and needed to check what type of vit C you were offering but I couldn't find a way to go back into shopping mode. Then when I finally figured that out, I couldn't get back into the cart. Then you were also offering coupons, but I need something online I can use. I usually don't mail in my order so I can't use coupons.",4,2024-12-12,Darlene Russell,US
6,Technical issues can get in the way,"I finally got the ""favorites"" ordering aspect down, but continue to have some issues with the site not updating my order(s). Today I tried deleting items in my cart or changing the number ordered, and my cart wouldn't update. I was able to use my reward points, however--thank you!",4,2024-12-13,Frank Porter,US
7,Free shipping day! By now and stock up,I really appreciate you having a free shipping day. I’ve been waiting for that. It always encourages me to buy more even though your best discount discounts may not be on this day.,4,2024-12-14,julie schoch,US
8,This is a great company,This is a great company. I would definitely recommend this company. In fact I have recommended this company to many people. My daughter purchases things from them love them. The people are awesome. They are very kind and very helpful. I would recommend them to everyone. They are a blessing to me,4,2024-12-15,Cheryl Thyne,US
9,"Great products, lovely sale","It's always a great experience here at Swanson, and today what I needed was on sale for 40% off. Love that opportunity, will return more often.",5,2024-12-14,Melinda B,US
10,I love free shipping,I love free shipping. Swanson brand Ashwagandha &D3 gummies work great for me. Helps ease my stress. Highly recommend these gummies.,5,2024-12-14,Amber,US
11,Swanson is the BEST Vitamin company by…,"Swanson is the BEST Vitamin company by far with the BEST Customer service!🏆
Absolutely LOVE them🩷
Thank you so MUCH SWANSON🌟",5,2024-12-14,Kelly,US
12,I don't like all the extra advertising…,"I don't like all the extra advertising offers at the end, some of which are misleading, like the one for 10.00 dollars off. I bread the fine print and it contained some hooks to keep someone signed up later -- will not shop swanson again with these kinds of slick ads.",4,2024-12-12,Randy Hirtzel,US
13,I received an email for 20% off entire…,"I received an email for 20% off entire order and they have the supplement I needed and I heard they have discounts so I was on it. The reason I didn't give 5 stars is die to when I put my 20% off code in, it only showed a 15% discount. I had to go out and back to my email and go through that way. It finally had the correct discount and I put in my order. Checking out was a breeze. I will be purchasing more from them as long as the shipping time is adequate",4,2024-12-13,THERESA,US
14,I couldn't place an online order…,"I couldn't place an online order because the shipping address zip code was different from the billing address zip code so I couldn't add my credit card!!! Then, when a tech told me to add the credit card first, I was able to place the order but now the billing address is the same as the shipping address and it shouldn't be, as I'm shipping the stuff to my mom's house in a different city. This took way too long to place and was very frustrating.",1,2024-12-15,LL Cool,US
15,Your prices have increased!,"Your prices have increased where I must order less and omit some supplements. And some of your supplements have less mg in them, so need to double the dose. I will need to research cheaper but high quality non bio engineered options elsewhere. We are two seniors with limited incomes. Seniors need a discount. Rx is expensive. Now so are your supplements.",3,2024-12-14,Marcia Radbill,US
16,The quality,"The quality, variety, the definitions for use and benefits, The easy through your site, and the PRICES - this helps me to stay healthier. Have not been here for a while as I have been on prescription strength supplements but friend Selma Blackmon who orders lots from you, suggested the product on this order, HA.",5,2024-12-11,vicki eibel,US
17,I love shopping here,"I love shopping here. The selection is very nice, the sales are decent, and the shipping is normally pretty fast. Although I rarely have an issue with a product, when I do, the customer service team is very helpful.",5,2024-12-11,Julie,US
18,have been customer for several…,have been customer for several years...if ever a problem your company has been willing to resolve it!!,5,2024-12-15,AMR,US
19,Great price and includes free shipping,"Great price and includes free shipping. However, I don't appreciate the sales pitches for products in order to earn ten dollars off purchase.",4,2024-12-14,Vincent Alley,US
20,Swanson has great deals,"Swanson has great deals! My supplements are fully stocked for next year! This order is for my sister, who is a faithful fiber user!!",5,2024-12-14,Michael L Schultz,US
21,I don't like how percentages off…,"I don't like how percentages off change. First pass when I added multiple copies of products to cart it showed 25 percent off, later as I went to finalize order it dropped to 15%. I would prefer to see bottom line price and not screw around everytime I shop on your site I finish shaking my head. It cause s me to distrust you.",3,2024-12-14,Colin Wilson,US
22,"Website Problems, Then Rep who didn't help!",I waited 26 minutes to talk to representative. Who gave me a 'discount code' (TXT20) which was SUPPOSED to get me a better discount than the Military discount. I ended up with neither. No discount after call; no Military discount.,1,2024-12-14,William,US
23,I love your Company and I have…,I love your Company and I have purchased many of your products. I feel you have integrity and are helping MANY people lead a better life thru your many nutritional supplements at reasonable 😀 👍 🙏 😊 😉 prices 😀,5,2024-12-11,Michelle Mager,US
24,I couldn’t find promotion slot,"I couldn’t find promotion slot. Had to call and get help. The gentleman was VERY patient and kind and helpful!
But I usually have difficulties navigating your site. It used to be easier.
Thank you for the kind assistance!!!",2,2024-12-14,Elizabeth Quayle,US
25,I entered code VIP which was supposed…,I entered code VIP which was supposed to give me a 40% discount and free shipping but: It Did Not I got charged for S&H and NO Discount,4,2024-12-14,John Bland,US
26,Swan son’s vitamins have always been a…,Swan son’s vitamins have always been a quality product. I know that I can trust their vitamins to be first rate and the very best in quality.,4,2024-12-14,Betty Abiodun,US
27,Excellent shopping experience!,Monitor display is excellent! Not crowded and items are well displayed. Thank you! It's a pleasure doing business with you!,5,2024-12-13,Mary,US
28,I have been ordering from Swanson for a…,I have been ordering from Swanson for a few years and we really like the products. I can also rely on getting my order in a reasonable time.,5,2024-12-14,THELMA,US
29,I love it when there is free shipping,I love it when there is free shipping. Sometimes it's hard to decide whether to pay shipping or buy more than I need at the time.,5,2024-12-14,Lila,US
30,"While I appreiate your products, trust in your system is essential but lacking.","I appreciate your products that I periodically order. Today, I was disappointed that your system altered the price for the items that I placed into the cart, to a higher price per item, after I initially looked at the cart, and continued shopping. I was also disappointed that your system removed 1500 Wellness Reward points from my account, after not giving me any discounts for them. Trust is essential to business.",3,2024-12-13,Rick,US
31,live right.,pure outstanding products. a company that is truthful. company that is not greedy and gives fair prices and many sales and bonuses.,5,2024-12-15,beverly argabrite,US
32,Swanson Vitamins is an easy way to…,Swanson Vitamins is an easy way to order my vitamin needs with ease and free shipping to my home. The prices are right and no need to drive to the store.,5,2024-12-13,Jeanne Silver,US
33,strange way to do business,their free shipping kept charging me more and more with extra items. Why promote free shipping on orders over $29 when you dont honor it? Just trimmed a $300 order down to $230 since you wanted to charge me @$15 in shipping - strange way to do business.,3,2024-12-14,D Beam,US
34,Navigation around site is fairly…,"Navigation around site is fairly simple.
Promotions and when they are to be entered or not is a little confusing. Prices, as with everything else, are rough.",4,2024-12-14,James Campagna,US
35,The price of the item was exceptional &…,The price of the item was exceptional & this is my first time buying. So I will reserve my opinion on quality when I consume the product which is ginger tea,5,2024-12-12,Howard Gross,US
36,Great Website,Website easy to understand and navigate. Graphics are really good on products and description of product give lots of information.,5,2024-12-13,NLL,US
37,Swanson has always been good quality,Swanson has always been good quality with reasonable prices. Hopefully prices will go back to what they were with a new administration.,5,2024-12-11,ROBERT,US
38,Everything was easy to do,Everything was easy to do. Love to read comments from people who use the products. I appreciate the informative overviews of each product type. Thanks for taking the time to provide those and the user comments. Last but not least-- prices are great!!!,5,2024-12-11,Margie Stickley,US
39,Brand strengths not necessarily…,Bra N ds and strengths bot necessarily orderly. Orders take 1 week minimum to ship even with 1-4 day delivery $2.99 few. MY previous order has still not arrived and it's 7 days tomorrow.,3,2024-12-13,Rick A.,US
40,First time ordering from this company,First time ordering from this company. Will follow up as I get more comfortable navigating the menu in the future. Look forward to receiving my purchase.,5,2024-12-11,Rebecca Gackle,US
41,Enjoyed large discounts,"Enjoyed large discounts, and only one out of stock, with an acceptable alternative. enjoy doing business with this company.",5,2024-12-14,PHILIPS CONSUMER SALES,US
42,Great deal,Great deal when using the DECSALE code!! My husband likes this brand of Probiotics the best because they are easier for him to swallow.,5,2024-12-11,JM,US
43,Fast check out,Fast check out. And amazing prices! I will let you know how each product works independently from one another over a two month period.,4,2024-12-13,Guest,US
44,The ordering process was straight…,The ordering process was straight forward. No problems using my credit card. I would order again from this company and I would recommend it to others.,5,2024-12-11,lynn diimmel,US
45,Competitive prices,The site is easy to navigate and the prices are very competitive. I will add Swanson's to my comparison shopping sites list.,5,2024-12-12,deazil,US
46,It was OK except for all the…,It was OK except for all the high-pressure selling during the order. You want your customer to buy things without knowing what they are or how much they cost. Annoying.,3,2024-12-14,Thomas Nelson,US
47,"Good stuff, cheap",I have used Swanson vitamins and minerals for over 10 years because they give me options and quality products at reasonable prices.,4,2024-12-15,Jerrold Carpenter,US
48,The website sucks!!,The website sucks!!! Pages keep changing when trying to order and you need to keep reordering to finally get what you want. I get an appreciation coupon in the mail for 30% off in appreciation for continued support(ordering) but when applying the coupon it is rejected.,2,2024-12-12,Loraine Arsenault,US
49,Why Change what works…,I do not know why your system seems to have changed so much. A simple order with 5 different vitamins which was easy to get on the order but finding a way to get to check out was almost impossible. I actually did give up and then tried something so simple it was ridiculous. Just type the words shopping cart in the top line and the shopping cart comes up. Two hours to get one 5 item order through couldn't you just make a box with the words Shopping Cart and have people click on the box????,3,2024-12-11,The Stiles,US
50,Your ordering process is absolutely…,Your ordering process is absolutely ridiculous. Just post the lowest price you will sell it and quit the foolishness with these discounts . I tried to pay two times and got bumped off the order completely. Take a note from Amazon and simplify your ordering process.,1,2024-12-11,Kevin Breaux,US
51,Took advantage of the FREE Shipping…,Took advantage of the FREE Shipping offer and Rewards. Thank you Swanson. It really came in handy.,5,2024-12-13,LADANIA Hawkins,US
52,Keeping customers updated on new…,Keeping customers updated on new products and out of stock products and the price of the product is very reasonable.,5,2024-06-10,customer,US
53,Clear and fast processing from online…,Clear and fast processing from online ordering. And from now I don’t have to call toll free to order.,5,2024-12-14,Jessie Chin,US
54,If you are Military don't buy from Swanson,"while I was ordering, a link popped up saying if I spent $5.30 more I'd have free shipping so I added another item and total was $29.47 and when I went to place the order, they charged me $7.99 for shipping...When I called up and spoke to them they because the discount I received thru iDMe. gov as military the total went down to $28.44 and I had not reach a total of $29+ and I told them that was not right and they wouldn't change so I cancelled the order and I won't buy from them again after being a customer for many, many years.",1,2024-12-13,don,US
55,i HAVE BEEN A SATISFIED CUSTOMER FOR…,i HAVE BEEN A SATISFIED CUSTOMER FOR OVER 20 YEARS. gREAT SUPPLEMENTS AND GREAT VALUE.,5,2024-12-14,David Medley,US
56,The Efficiency Of This Company Is Slipping!,"As I've experienced over the last several times I've tried to order, items are frequently out of stock. As a customer for more than twenty years, I have found it very frustrating to experience this regularly within the last year or so: something that was very rare prior to now. Also, when trying to request notification when a product is once again available, the site malfunctions repeatedly. Then when the product becomes available, I have to call in and go through a process to get the free shipping that I would have gotten if the product had been available when I placed my original order.",3,2024-12-13,RONALD MAYER,US
57,Order Placement Not Consistent With Cart Information,"I placed items in my cart. Each of them clearly displayed a discount. I chose a discount code that Swanson sent to me in a text and applied it. It displayed. This was my first order. When I moved to checkout, the discounts appeared. The total amount displayed, just over $29, with free shipping. When I placed the order, the order collected $41.19, with free shipping. That amount never appeared in any of the earlier steps. This was at about 9:45 p.m., my time zone. Perhaps Swanson operates the online shopping cart on another time zone and eliminates discounts at the end of the day in that time. I placed the order after the half hour mark but before the next hour, so the timing, if applicable, is not clear. If time zones are an issue, it is not announced. I did not appreciate the change in pricing. This shopping experience will make me hesitate to purchase again.",1,2024-12-13,Richard Porterfield,US
58,You charged me additional shipping and…,You charged me additional shipping and I was to get it free. I have purchased lots from you. Very disappointed. Feel riped off. May never order from you again. I feel betrayed,1,2024-12-15,Judy Juengst,US
59,"Healthy food choices, great prices!","It's hard to find gluten free, non GMO, and healthy food mixes with non chemical ingredients. Also with reasonable prices. Great place to find healthy choices!",5,2024-12-02,eamedanich,US
60,I did not like the popups at the end of…,"I did not like the popups at the end of ordering that wanted me to sign up for credit cards. That's a new thing for ordering from you and it's not acceptable.

However, I do like the free shipping :)",3,2024-12-14,Donna Skinner,US
61,Hoping this will me with my weight loss…,"Hoping this will me with my weight loss journey ! Working hard to take it off, but it’s just not happening as I get older",4,2024-12-14,Robert Roth,US
62,Glad to order with you !!!,Thanks for the free shipping on the special order day 12/14/2024 --- a Saturday !,5,2024-12-14,"Thomas, turning 65",US
